id_venta,fecha,id_cliente,nombre_cliente,email,Medio_Pago,Cantidad_Productos,Importe_Total,Items_Comprados,Ciudad,Categoria,Perfil_Cliente
1,2024-06-19,62,Guadalupe Romero,guadalupe.romero@mail.com,tarjeta,1,2902,1,Carlos Paz,Limpieza,Bajo
2,2024-03-17,49,Olivia Gomez,olivia.gomez@mail.com,qr,17,34186,5,Rio Cuarto,Alimentos,Intensivo
3,2024-01-13,20,Tomas Acosta,tomas.acosta@mail.com,tarjeta,5,19558,3,Rio Cuarto,Alimentos,Regular
4,2024-02-27,36,Martina Molina,martina.molina@mail.com,transferencia,7,15966,2,Mendiolaza,Alimentos,Regular
5,2024-06-11,56,Bruno Diaz,bruno.diaz@mail.com,tarjeta,4,16360,1,Rio Cuarto,Alimentos,Regular
6,2024-05-05,91,Uma Sanchez,uma.sanchez@mail.com,transferencia,10,34535,4,Mendiolaza,Alimentos,Intensivo
7,2024-05-06,92,Mariana Rodriguez,mariana.rodriguez@mail.com,efectivo,3,13011,1,Alta Gracia,Alimentos,Regular
8,2024-01-06,66,Tomas Herrera,tomas.herrera@mail.com,transferencia,14,35516,3,Villa Maria,Alimentos,Intensivo
9,2024-01-20,86,Diego Torres,diego.torres@mail.com,efectivo,4,9692,1,Cordoba,Alimentos,Bajo
10,2024-05-28,52,Diego Diaz,diego.diaz@mail.com,qr,10,37970,4,Rio Cuarto,Alimentos,Intensivo
11,2024-04-10,20,Tomas Acosta,tomas.acosta@mail.com,qr,4,8165,3,Rio Cuarto,Alimentos,Bajo
12,2024-06-28,96,Rocio Gonzalez,rocio.gonzalez@mail.com,efectivo,14,28175,5,Cordoba,Alimentos,Regular
13,2024-01-24,6,Uma Medina,uma.medina@mail.com,tarjeta,5,11622,3,Villa Maria,Alimentos,Regular
14,2024-04-18,67,Ivana Romero,ivana.romero@mail.com,qr,13,35240,4,Alta Gracia,Alimentos,Intensivo
15,2024-06-27,56,Bruno Diaz,bruno.diaz@mail.com,transferencia,3,9588,1,Rio Cuarto,Alimentos,Bajo
16,2024-04-12,2,Nicolas Rojas,nicolas.rojas@mail.com,efectivo,5,22150,1,Carlos Paz,Alimentos,Regular
17,2024-02-17,88,Felipe Castro,felipe.castro@mail.com,efectivo,13,36639,3,Villa Maria,Alimentos,Intensivo
18,2024-06-11,81,Camila Ruiz,camila.ruiz@mail.com,qr,17,33244,5,Carlos Paz,Alimentos,Regular
19,2024-06-11,80,Gael Ruiz,gael.ruiz@mail.com,efectivo,8,24708,3,Mendiolaza,Alimentos,Regular
20,2024-01-13,75,Santiago Castro,santiago.castro@mail.com,tarjeta,3,6702,1,Rio Cuarto,Alimentos,Bajo
21,2024-06-19,10,Karina Acosta,karina.acosta@mail.com,transferencia,6,25860,2,Cordoba,Alimentos,Regular
22,2024-05-08,64,Julian Alvarez,julian.alvarez@mail.com,transferencia,9,15784,3,Villa Maria,Alimentos,Regular
23,2024-05-16,78,Emilia Alvarez,emilia.alvarez@mail.com,transferencia,8,23132,2,Villa Maria,Alimentos,Regular
24,2024-06-14,55,Olivia Ruiz,olivia.ruiz@mail.com,tarjeta,7,15455,2,Mendiolaza,Alimentos,Regular
25,2024-04-30,13,Ivana Sanchez,ivana.sanchez@mail.com,transferencia,7,13188,3,Carlos Paz,Alimentos,Regular
26,2024-01-23,49,Olivia Gomez,olivia.gomez@mail.com,efectivo,3,8930,2,Rio Cuarto,Alimentos,Bajo
27,2024-02-25,9,Yamila Molina,yamila.molina@mail.com,transferencia,8,30232,2,Carlos Paz,Alimentos,Regular
28,2024-05-20,52,Diego Diaz,diego.diaz@mail.com,qr,11,35607,5,Rio Cuarto,Alimentos,Intensivo
29,2024-02-20,49,Olivia Gomez,olivia.gomez@mail.com,qr,10,18439,5,Rio Cuarto,Alimentos,Regular
30,2024-03-03,93,Gael Rojas,gael.rojas@mail.com,efectivo,12,35760,4,Alta Gracia,Alimentos,Intensivo
31,2024-05-22,19,Uma Silva,uma.silva@mail.com,tarjeta,12,26979,3,Mendiolaza,Limpieza,Regular
32,2024-01-30,31,Felipe Ruiz,felipe.ruiz@mail.com,efectivo,15,53828,4,Villa Maria,Alimentos,Intensivo
33,2024-02-13,6,Uma Medina,uma.medina@mail.com,efectivo,9,37256,4,Villa Maria,Alimentos,Intensivo
34,2024-01-13,58,Karina Acosta,karina.acosta2@mail.com,transferencia,6,16053,2,Rio Cuarto,Alimentos,Regular
35,2024-05-30,61,Guadalupe Martinez,guadalupe.martinez@mail.com,efectivo,10,23238,3,Rio Cuarto,Limpieza,Regular
36,2024-06-25,5,Agustina Flores,agustina.flores@mail.com,tarjeta,6,11832,2,Cordoba,Alimentos,Regular
37,2024-05-17,57,Julian Acosta,julian.acosta@mail.com,qr,3,10332,1,Rio Cuarto,Alimentos,Bajo
38,2024-05-29,56,Bruno Diaz,bruno.diaz@mail.com,tarjeta,16,50855,4,Rio Cuarto,Alimentos,Intensivo
39,2024-03-05,5,Agustina Flores,agustina.flores@mail.com,efectivo,14,45142,4,Cordoba,Alimentos,Intensivo
40,2024-05-13,15,Tomas Ruiz,tomas.ruiz@mail.com,efectivo,2,5958,1,Cordoba,Alimentos,Bajo
41,2024-03-08,29,Diego Fernandez,diego.fernandez@mail.com,tarjeta,2,4283,2,Alta Gracia,Alimentos,Bajo
42,2024-04-18,12,Gael Gomez,gael.gomez@mail.com,tarjeta,7,15368,3,Alta Gracia,Alimentos,Regular
43,2024-02-18,23,Helena Fernandez,helena.fernandez@mail.com,efectivo,9,19825,3,Rio Cuarto,Alimentos,Regular
44,2024-02-21,21,Elena Rodriguez,elena.rodriguez@mail.com,efectivo,5,20048,3,Alta Gracia,Alimentos,Regular
45,2024-01-19,15,Tomas Ruiz,tomas.ruiz@mail.com,efectivo,11,22751,5,Cordoba,Alimentos,Regular
46,2024-03-25,46,Agustina Martinez,agustina.martinez@mail.com,tarjeta,1,272,1,Alta Gracia,Alimentos,Bajo
47,2024-05-04,52,Diego Diaz,diego.diaz@mail.com,transferencia,8,16945,2,Rio Cuarto,Alimentos,Regular
48,2024-01-26,84,Pablo Sanchez,pablo.sanchez@mail.com,qr,10,30101,3,Cordoba,Alimentos,Regular
49,2024-06-02,5,Agustina Flores,agustina.flores@mail.com,efectivo,16,38660,5,Cordoba,Alimentos,Intensivo
50,2024-01-09,8,Bruno Castro,bruno.castro@mail.com,transferencia,19,61503,5,Carlos Paz,Alimentos,Intensivo
51,2024-02-18,39,Santiago Diaz,santiago.diaz@mail.com,efectivo,1,3409,1,Alta Gracia,Alimentos,Bajo
52,2024-05-10,5,Agustina Flores,agustina.flores@mail.com,tarjeta,14,36524,4,Cordoba,Alimentos,Intensivo
53,2024-01-25,56,Bruno Diaz,bruno.diaz@mail.com,tarjeta,1,936,1,Rio Cuarto,Alimentos,Bajo
54,2024-03-26,1,Mariana Lopez,mariana.lopez@mail.com,tarjeta,9,36035,4,Carlos Paz,Alimentos,Intensivo
55,2024-01-04,100,Agustina Lopez,agustina.lopez@mail.com,qr,4,1876,1,Cordoba,Alimentos,Bajo
56,2024-06-14,15,Tomas Ruiz,tomas.ruiz@mail.com,qr,5,17220,1,Cordoba,Alimentos,Regular
57,2024-01-10,34,Bruno Castro,bruno.castro2@mail.com,efectivo,19,57287,5,Villa Maria,Alimentos,Intensivo
58,2024-02-04,48,Rocio Alvarez,rocio.alvarez@mail.com,transferencia,3,3827,2,Cordoba,Alimentos,Bajo
59,2024-04-28,62,Guadalupe Romero,guadalupe.romero@mail.com,tarjeta,8,16205,3,Carlos Paz,Alimentos,Regular
60,2024-04-04,81,Camila Ruiz,camila.ruiz@mail.com,transferencia,11,31258,5,Carlos Paz,Alimentos,Regular
61,2024-06-01,27,Tomas Castro,tomas.castro@mail.com,efectivo,6,21387,2,Rio Cuarto,Alimentos,Regular
62,2024-05-01,100,Agustina Lopez,agustina.lopez@mail.com,transferencia,7,16499,2,Cordoba,Alimentos,Regular
63,2024-06-19,25,Karina Castro,karina.castro@mail.com,tarjeta,14,46199,4,Rio Cuarto,Alimentos,Intensivo
64,2024-03-07,58,Karina Acosta,karina.acosta2@mail.com,qr,4,5786,2,Rio Cuarto,Alimentos,Bajo
65,2024-04-30,30,Ivana Medina,ivana.medina@mail.com,qr,16,43475,4,Alta Gracia,Alimentos,Intensivo
66,2024-03-14,69,Felipe Flores,felipe.flores@mail.com,qr,3,13839,1,Rio Cuarto,Alimentos,Regular
67,2024-03-21,66,Tomas Herrera,tomas.herrera@mail.com,efectivo,3,10100,2,Villa Maria,Alimentos,Bajo
68,2024-06-28,27,Tomas Castro,tomas.castro@mail.com,qr,4,5672,1,Rio Cuarto,Limpieza,Bajo
69,2024-01-06,42,Tomas Flores,tomas.flores@mail.com,qr,7,26003,2,Alta Gracia,Alimentos,Regular
70,2024-02-02,41,Elena Rodriguez,elena.rodriguez2@mail.com,transferencia,10,13363,3,Alta Gracia,Alimentos,Regular
71,2024-06-02,40,Felipe Diaz,felipe.diaz@mail.com,qr,12,37767,4,Rio Cuarto,Alimentos,Intensivo
72,2024-02-17,26,Camila Sanchez,camila.sanchez@mail.com,qr,9,11184,3,Alta Gracia,Alimentos,Bajo
73,2024-05-16,42,Tomas Flores,tomas.flores@mail.com,transferencia,5,8102,3,Alta Gracia,Alimentos,Bajo
74,2024-04-26,56,Bruno Diaz,bruno.diaz@mail.com,efectivo,7,12962,3,Rio Cuarto,Alimentos,Regular
75,2024-05-23,61,Guadalupe Martinez,guadalupe.martinez@mail.com,qr,9,44721,2,Rio Cuarto,Alimentos,Intensivo
76,2024-05-15,75,Santiago Castro,santiago.castro@mail.com,tarjeta,11,23207,4,Rio Cuarto,Alimentos,Regular
77,2024-05-26,55,Olivia Ruiz,olivia.ruiz@mail.com,tarjeta,12,13327,5,Mendiolaza,Alimentos,Regular
78,2024-04-29,12,Gael Gomez,gael.gomez@mail.com,qr,13,34150,5,Alta Gracia,Alimentos,Intensivo
79,2024-06-06,57,Julian Acosta,julian.acosta@mail.com,qr,4,10104,2,Rio Cuarto,Alimentos,Bajo
80,2024-03-25,54,Uma Herrera,uma.herrera@mail.com,efectivo,13,21270,3,Alta Gracia,Alimentos,Regular
81,2024-03-09,49,Olivia Gomez,olivia.gomez@mail.com,transferencia,2,9766,1,Rio Cuarto,Alimentos,Bajo
82,2024-01-25,19,Uma Silva,uma.silva@mail.com,tarjeta,10,17584,4,Mendiolaza,Alimentos,Regular
83,2024-05-28,91,Uma Sanchez,uma.sanchez@mail.com,efectivo,11,22851,4,Mendiolaza,Alimentos,Regular
84,2024-01-02,72,Camila Rodriguez,camila.rodriguez@mail.com,efectivo,9,26294,2,Cordoba,Alimentos,Regular
85,2024-01-23,42,Tomas Flores,tomas.flores@mail.com,transferencia,6,12898,2,Alta Gracia,Alimentos,Regular
86,2024-01-10,40,Felipe Diaz,felipe.diaz@mail.com,efectivo,14,26949,4,Rio Cuarto,Alimentos,Regular
87,2024-04-20,100,Agustina Lopez,agustina.lopez@mail.com,qr,4,11508,2,Cordoba,Alimentos,Bajo
88,2024-06-21,37,Martina Perez,martina.perez@mail.com,efectivo,14,41537,3,Mendiolaza,Alimentos,Intensivo
89,2024-01-18,17,Pablo Gomez,pablo.gomez@mail.com,tarjeta,2,7752,1,Villa Maria,Alimentos,Bajo
90,2024-01-08,46,Agustina Martinez,agustina.martinez@mail.com,qr,6,18020,2,Alta Gracia,Alimentos,Regular
91,2024-02-19,39,Santiago Diaz,santiago.diaz@mail.com,efectivo,3,13560,1,Alta Gracia,Alimentos,Regular
92,2024-02-09,42,Tomas Flores,tomas.flores@mail.com,transferencia,6,13314,2,Alta Gracia,Alimentos,Regular
93,2024-01-29,90,Guadalupe Ruiz,guadalupe.ruiz@mail.com,efectivo,10,26593,3,Rio Cuarto,Alimentos,Regular
94,2024-03-06,41,Elena Rodriguez,elena.rodriguez2@mail.com,qr,8,27441,3,Alta Gracia,Alimentos,Regular
95,2024-02-25,26,Camila Sanchez,camila.sanchez@mail.com,qr,6,19950,2,Alta Gracia,Alimentos,Regular
96,2024-02-23,83,Franco Gomez,franco.gomez@mail.com,tarjeta,9,16531,4,Rio Cuarto,Alimentos,Regular
97,2024-06-16,39,Santiago Diaz,santiago.diaz@mail.com,efectivo,9,26718,3,Alta Gracia,Alimentos,Regular
98,2024-01-12,43,Lucas Perez,lucas.perez@mail.com,transferencia,9,16084,4,Mendiolaza,Alimentos,Regular
99,2024-03-13,51,Agustina Gomez,agustina.gomez@mail.com,transferencia,5,6075,1,Rio Cuarto,Alimentos,Bajo
100,2024-06-08,69,Felipe Flores,felipe.flores@mail.com,qr,14,50461,5,Rio Cuarto,Alimentos,Intensivo
101,2024-03-28,72,Camila Rodriguez,camila.rodriguez@mail.com,efectivo,4,2012,1,Cordoba,Alimentos,Bajo
102,2024-03-29,18,Ivana Torres,ivana.torres@mail.com,efectivo,6,20544,2,Carlos Paz,Alimentos,Regular
103,2024-03-11,39,Santiago Diaz,santiago.diaz@mail.com,efectivo,12,21099,4,Alta Gracia,Alimentos,Regular
104,2024-06-17,86,Diego Torres,diego.torres@mail.com,qr,10,24634,3,Cordoba,Alimentos,Regular
105,2024-02-06,1,Mariana Lopez,mariana.lopez@mail.com,transferencia,17,36413,5,Carlos Paz,Alimentos,Intensivo
106,2024-03-24,82,Lucas Lopez,lucas.lopez@mail.com,transferencia,3,7710,1,Alta Gracia,Limpieza,Bajo
107,2024-05-21,14,Gael Martinez,gael.martinez@mail.com,efectivo,14,38570,4,Carlos Paz,Alimentos,Intensivo
108,2024-03-25,9,Yamila Molina,yamila.molina@mail.com,tarjeta,4,11608,1,Carlos Paz,Limpieza,Bajo
109,2024-06-04,64,Julian Alvarez,julian.alvarez@mail.com,transferencia,9,24434,4,Villa Maria,Alimentos,Regular
110,2024-05-19,92,Mariana Rodriguez,mariana.rodriguez@mail.com,efectivo,9,35856,3,Alta Gracia,Alimentos,Intensivo
111,2024-02-12,48,Rocio Alvarez,rocio.alvarez@mail.com,efectivo,13,22576,4,Cordoba,Alimentos,Regular
112,2024-01-19,28,Rocio Silva,rocio.silva@mail.com,tarjeta,13,15308,5,Cordoba,Alimentos,Regular
113,2024-03-08,98,Camila Castro,camila.castro@mail.com,transferencia,5,10864,2,Cordoba,Alimentos,Bajo
114,2024-05-05,16,Felipe Alvarez,felipe.alvarez@mail.com,qr,12,27829,5,Rio Cuarto,Alimentos,Regular
115,2024-02-16,3,Hernan Martinez,hernan.martinez@mail.com,transferencia,15,33310,4,Rio Cuarto,Alimentos,Intensivo
116,2024-03-18,25,Karina Castro,karina.castro@mail.com,qr,16,35631,5,Rio Cuarto,Alimentos,Intensivo
117,2024-03-14,72,Camila Rodriguez,camila.rodriguez@mail.com,tarjeta,6,28840,2,Cordoba,Alimentos,Regular
118,2024-02-09,84,Pablo Sanchez,pablo.sanchez@mail.com,efectivo,15,37474,5,Cordoba,Alimentos,Intensivo
119,2024-02-07,51,Agustina Gomez,agustina.gomez@mail.com,qr,5,3725,1,Rio Cuarto,Alimentos,Bajo
120,2024-04-21,72,Camila Rodriguez,camila.rodriguez@mail.com,tarjeta,5,7855,1,Cordoba,Alimentos,Bajo
